기관분류,기관명,접근성,링크,재생목록,채널,설명,가입일,최근 업로드,기준,업로드 기간,동영상 개수,평균 조회수,조회수,구독자
공연장,강릉아트센터,1,0,0,1,0,2020-04-07,2020-11-30,2021-07-23,235,8,2821,22500,524
공연장,화강문화센터,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,백운아트홀,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,관저문예회관,2,1,5,2,1,2020-06-16,2021-04-28,2021-07-23,86,17,918,15600,204
공연장,대전시립연정국악원,2,1,10,2,1,2019-11-01,2021-05-27,2021-07-23,57,89,373,59100,540
공연장,대전예술의전당,2,0,0,1,1,2019-07-04,2021-06-11,2021-07-23,42,215,147,187900,2290
공연장,옥천문화예술회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,음성문화예술회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,충청북도교육문화원,2,0,6,2,0,2020-10-22,2021-06-04,2021-07-23,49,37,2753,86400,344
공연장,계룡문화예술의전당,1,0,0,0,0,2021-03-26,2021-05-06,2021-07-24,79,2,0,2393,197
공연장,금산다락원,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,보령문화예술회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,충청남도교육청학생교육문화원,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,홍주문화회관,1,0,0,0,0,2020-11-23,2020-11-23,2021-07-23,242,7,9,65,2
공연장,대구오페라하우스,2,1,0,0,1,2019-12-04,2021-07-01,2021-07-23,22,66,1752,3170600,26000
공연장,대구서구문화회관,2,0,0,0,1,2019-05-03,2021-07-15,2021-07-23,8,6,0,590,160
공연장,대구콘서트하우스,2,0,11,0,1,2016-10-14,2021-07-22,2021-07-23,1,214,283,459000,3670
공연장,대덕문화전당,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,봉산문화회관,1,0,7,0,0,2020-04-29,2021-07-19,2021-07-23,4,31,433,13100,130
공연장,경산시민회관,1,0,0,0,0,2020-09-16,2021-05-27,2021-07-23,57,3,7029,21000,1270
공연장,구미시문화예술회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,상주문화회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,안동문화예술의전당,2,0,10,1,1,2020-04-14,2021-07-08,2021-07-23,15,151,53,57000,817
공연장,영주문화예술회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,영천시민회관,2,0,2,0,1,2020-09-04,2021-01-07,2021-07-23,197,46,0,6554,376
공연장,광주문화예술회관,2,1,6,1,1,2017-05-22,2021-07-22,2021-07-23,1,342,549,327900,3200
공연장,군산예술의전당,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,익산예술의전당,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,한국소리문화의전당,1,1,6,0,1,2018-01-20,2021-04-06,2021-07-23,108,181,691,89100,비공개
공연장,목포문화예술회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,장흥문화예술회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,해남문화예술회관,1,1,6,0,0,2020-08-26,2021-07-14,2021-07-23,9,50,162,8298,97
공연장,서귀포예술의전당,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,제주아트센터,0,-,-,-,-,-,-,-,-,-,-,-,-
